,close,open,high,low,vol,pct_chg
2018-12-13,170.42,170.83,172.53,169.64,24.93M,0.78%
2018-12-12,169.1,170.36,171.91,169.1,35.63M,0.28%
2018-12-11,168.63,171.66,171.79,167.0,47.28M,-0.57%
2018-12-10,169.6,165.0,170.09,163.33,62.03M,0.66%
2018-12-07,168.49,173.49,174.49,168.3,42.28M,-3.57%
2018-12-06,174.72,171.76,174.78,170.42,43.10M,-1.11%
2018-12-04,176.69,180.95,182.39,176.27,41.34M,-4.40%
2018-12-03,184.82,184.46,184.94,181.21,40.80M,3.49%
2018-11-30,178.58,180.29,180.33,177.03,39.53M,-0.54%
2018-11-29,179.55,182.66,182.8,177.7,41.77M,-0.77%
2018-11-28,180.94,176.73,181.29,174.93,46.06M,3.85%
2018-11-27,174.24,171.51,174.77,170.88,41.39M,-0.22%
2018-11-26,174.62,174.24,174.95,170.26,45.00M,1.35%
2018-11-23,172.29,174.94,176.59,172.1,23.62M,-2.54%
2018-11-21,176.78,179.73,180.27,176.55,31.12M,-0.11%
2018-11-20,176.98,178.37,181.47,175.51,67.83M,-4.78%
2018-11-19,185.86,190.0,190.7,184.99,41.92M,-3.96%
2018-11-16,193.53,190.5,194.97,189.46,36.93M,1.11%
2018-11-15,191.41,188.39,191.97,186.9,46.48M,2.47%
2018-11-14,186.8,193.9,194.48,185.93,60.80M,-2.82%
2018-11-13,192.23,191.63,197.18,191.45,46.88M,-1.00%
2018-11-12,194.17,199.0,199.85,193.79,51.14M,-5.04%
2018-11-09,204.47,205.55,206.01,202.25,34.37M,-1.93%
2018-11-08,208.49,209.98,210.12,206.75,25.36M,-0.70%
2018-11-07,209.95,205.97,210.06,204.13,33.42M,3.03%
2018-11-06,203.77,201.92,204.72,201.69,31.88M,1.08%
2018-11-05,201.59,204.3,204.39,198.17,66.16M,-2.84%
2018-11-02,207.48,209.55,213.65,205.43,91.33M,-6.63%
2018-11-01,222.22,219.05,222.36,216.81,58.32M,1.54%
2018-10-31,218.86,216.88,220.45,216.62,38.36M,2.61%
2018-10-30,213.3,211.15,215.18,209.27,36.66M,0.50%
2018-10-29,212.24,219.19,219.69,206.09,45.94M,-1.88%
2018-10-26,216.3,215.9,220.19,212.67,47.26M,-1.59%
2018-10-25,219.8,217.71,221.38,216.75,29.86M,2.19%
2018-10-24,215.09,222.6,224.23,214.54,40.93M,-3.43%
2018-10-23,222.73,215.83,223.25,214.7,38.77M,0.94%
2018-10-22,220.65,219.79,223.36,218.94,28.79M,0.61%
2018-10-19,219.31,218.06,221.26,217.43,33.08M,1.52%
2018-10-18,216.02,217.86,219.74,213.0,32.58M,-2.34%
