Day,Date,Open,High,Low,Close,Volume
===,==========,==========,==========,==========,==========,===========
Mon,6/3/19,275.31,276.55,273.09,274.57,96427952
Fri,5/31/19,276.2,277.12,275.24,275.27,86862784
Thu,5/30/19,279.11,280.04,277.8,279.03,62523780
Wed,5/29/19,278.91,279.36,276.71,278.27,104972928
Tue,5/28/19,283.09,284.15,280.13,280.15,70029360
Fri,5/24/19,283.74,284.2,282.09,282.78,55268096
Thu,5/23/19,283.16,283.21,280.57,282.14,98733848
Wed,5/22/19,285.45,286.69,285.1,285.63,49482472
Tue,5/21/19,285.83,286.93,285.55,286.51,46847084
Mon,5/20/19,284.06,285.43,283.12,283.95,62877608
Fri,5/17/19,285.14,288.6,285.12,285.84,100353024
Thu,5/16/19,285.84,289.21,285.76,287.7,76749640
Wed,5/15/19,281.59,285.77,281.36,285.06,73956408
Tue,5/14/19,281.99,285.1,281.85,283.4,77003232
Mon,5/13/19,282.42,283.49,279.93,280.86,127290528
Fri,5/10/19,285.62,288.94,282.3,288.1,112429296
Thu,5/9/19,285.23,287.33,283.3,286.66,103471104
Wed,5/8/19,287.53,289.43,286.87,287.53,91568288
Tue,5/7/19,290.15,290.81,285.81,287.93,144729904
Mon,5/6/19,289.25,293.31,288.9,292.82,107198072
Fri,5/3/19,292.82,294.34,291.3,294.03,56543652
Thu,5/2/19,291.68,292.7,289.52,291.18,65030168
Wed,5/1/19,294.72,294.95,291.8,291.81,71671872
Tue,4/30/19,293.49,294.34,291.92,294.02,81111736
Mon,4/29/19,293.51,294.45,293.41,293.87,57197748
Fri,4/26/19,292.1,293.49,291.24,293.41,50916424
Thu,4/25/19,292.12,292.78,290.73,292.05,57770864
Wed,4/24/19,292.79,293.16,292.07,292.23,50392912
Tue,4/23/19,290.68,293.14,290.42,292.88,52246632
Mon,4/22/19,289.17,290.43,289.07,290.27,40160140
Thu,4/18/19,290.1,290.32,288.66,290.02,68708512
Wed,4/17/19,291.4,291.42,288.99,289.45,58268296
Tue,4/16/19,290.95,291.01,289.5,290.16,52153196
Mon,4/15/19,290.24,290.35,289.08,289.97,49596684
Fri,4/12/19,290,290.47,288.26,290.16,69727784
Thu,4/11/19,288.83,288.84,287.58,288.21,55093100
Wed,4/10/19,287.77,288.39,287.31,288.29,52601500
Tue,4/9/19,287.72,288.08,286.7,287.31,66142316
Mon,4/8/19,288.1,288.91,287.37,288.79,53566336
Fri,4/5/19,287.92,288.63,287.6,288.57,58621728
Thu,4/4/19,286.78,287.46,286.01,287.18,48997504
Wed,4/3/19,287.32,287.76,285.75,286.42,68243200
Tue,4/2/19,286.04,286.23,285.09,285.97,40070352
Mon,4/1/19,284.7,286.16,284.4,285.83,77617944
Fri,3/29/19,282.39,282.84,281.14,282.48,82186808
Thu,3/28/19,280.35,281.21,279.07,280.71,56238544
Wed,3/27/19,281.11,281.76,277.93,279.65,72224720
Tue,3/26/19,280.99,282.18,279.56,281.12,68125920
Mon,3/25/19,278.87,280.19,277.64,279.04,85575200
Fri,3/22/19,283.22,283.8,279.18,279.25,122659288
Thu,3/21/19,280.64,285.18,280.59,284.73,79550376
Wed,3/20/19,282.16,283.5,280.32,281.55,84609208
Tue,3/19/19,283.51,284.36,281.41,282.4,90268120
Mon,3/18/19,281.55,282.66,281.3,282.33,62199808
Fri,3/15/19,280.54,282.21,280.33,281.31,81308976
Thu,3/14/19,280.14,280.6,279.44,279.93,67815792
Wed,3/13/19,279.25,281.14,279.07,280.11,80994376
Tue,3/12/19,277.84,278.84,277.63,278.26,80018472
Mon,3/11/19,274.05,277.4,274.02,277.22,65385664
Fri,3/8/19,271.74,273.45,271.23,273.26,86173736
Thu,3/7/19,275.62,275.78,272.87,273.8,95303064
Wed,3/6/19,277.93,277.94,275.76,276.11,75370328
Tue,3/5/19,278.31,278.53,277.19,277.8,59374964
Mon,3/4/19,280.36,280.63,275.63,278.17,106963752
Fri,3/1/19,279.21,279.65,277.6,279.19,79228024
Thu,2/28/19,277.74,278.22,277.1,277.46,69573424
Wed,2/27/19,277.3,278.36,276.26,277.98,57172312
Tue,2/26/19,277.91,279.07,277.68,278.1,57094504
Mon,2/25/19,279.5,280.08,278.2,278.29,69334784
Fri,2/22/19,276.89,278.13,276.19,277.92,78458720
Thu,2/21/19,276.48,276.88,275.13,276.2,64497596
Wed,2/20/19,276.59,277.7,276.03,277.19,76948240
Tue,2/19/19,275.27,277.36,275.26,276.63,59381236
Fri,2/15/19,275.15,276.19,274.92,276.15,97516344
Thu,2/14/19,272.58,274.43,271.67,273.18,83601048
