Day,Date,Open,High,Low,Close,Volume
===,==========,==========,==========,==========,==========,===========
Mon,6/3/19,52.9,54.43,52.75,54.41,13155424
Fri,5/31/19,52.72,52.97,52.52,52.75,5991764
Thu,5/30/19,53.28,53.59,53.21,53.35,4475082
Wed,5/29/19,52.84,53.33,52.7,53.26,8738785
Tue,5/28/19,53.78,53.95,53.21,53.25,4826056
Fri,5/24/19,54.03,54.19,53.5,53.79,4090366
Thu,5/23/19,53.74,53.92,53.24,53.49,4922673
Wed,5/22/19,54.6,54.8,54.31,54.32,5308497
Tue,5/21/19,54.26,54.78,54.18,54.7,4371714
Mon,5/20/19,54.16,54.38,53.78,53.87,5016528
Fri,5/17/19,54.56,55.03,54.41,54.65,6083322
Thu,5/16/19,54.63,55.16,54.63,54.98,4905329
Wed,5/15/19,54,54.61,53.77,54.22,5262173
Tue,5/14/19,54.09,54.77,53.95,54.36,6101857
Mon,5/13/19,54.12,55.1,53.49,53.9,7048777
Fri,5/10/19,54.3,55.34,54.07,55.14,6472860
Thu,5/9/19,54.21,54.61,53.78,54.4,6714372
Wed,5/8/19,54.84,55.09,54.6,54.83,6159679
Tue,5/7/19,55.33,55.43,54.59,54.88,9750966
Mon,5/6/19,55.32,56.08,55.32,55.86,15601099
Fri,5/3/19,56.23,56.7,56.18,56.67,6033379
Thu,5/2/19,56.14,56.44,55.72,56.12,10973368
Wed,5/1/19,57.53,57.53,56.4,56.41,6550939
Tue,4/30/19,57.11,57.52,56.82,57.45,3399227
Mon,4/29/19,56.92,57.12,56.75,56.96,6056504
Fri,4/26/19,56.6,57.22,56.49,57.07,4950092
Thu,4/25/19,57.07,57.15,56.42,56.6,5180061
Wed,4/24/19,57.63,57.81,57.33,57.33,3808269
Tue,4/23/19,57.34,57.87,57.2,57.69,7645160
Mon,4/22/19,57.6,57.79,57.35,57.43,5988068
Thu,4/18/19,57.8,57.97,57.52,57.82,3634417
Wed,4/17/19,58.23,58.5,57.73,57.75,3370239
Tue,4/16/19,57.79,58.12,57.52,58.11,3737478
Mon,4/15/19,58.12,58.15,57.75,57.85,2705083
Fri,4/12/19,57.83,58.12,57.65,58.12,3608661
Thu,4/11/19,57.37,57.57,57.2,57.36,3494571
Wed,4/10/19,57.47,57.58,57.17,57.39,3797388
Tue,4/9/19,57.6,57.68,57.25,57.42,6110767
Mon,4/8/19,57.78,57.9,57.54,57.84,6574723
Fri,4/5/19,57.85,58.05,57.65,57.82,3668642
Thu,4/4/19,57.3,57.86,57.27,57.84,6102846
Wed,4/3/19,56.98,57.62,56.81,57.26,17364484
Tue,4/2/19,56.47,56.76,56.24,56.52,7112307
Mon,4/1/19,55.89,56.41,55.81,56.33,6454300
Fri,3/29/19,55.08,55.52,54.83,55.5,6327316
Thu,3/28/19,54.57,55.04,54.55,55.02,4870911
Wed,3/27/19,54.42,54.69,54.1,54.49,9782585
Tue,3/26/19,54.59,54.73,54.17,54.56,5899772
Mon,3/25/19,54.3,54.72,54.14,54.23,6562715
Fri,3/22/19,55.51,55.52,54.23,54.33,9123744
Thu,3/21/19,55.22,56.21,55.16,56,7959661
Wed,3/20/19,55.43,55.7,54.88,55.41,11234984
Tue,3/19/19,55.8,56.15,55.21,55.46,5271277
Mon,3/18/19,55.44,55.61,55.11,55.53,4345470
Fri,3/15/19,55.56,55.83,55.19,55.4,7259022
Thu,3/14/19,55.59,55.71,55.2,55.33,5061569
Wed,3/13/19,55.79,56.1,55.63,55.75,5542234
Tue,3/12/19,55.35,55.8,55.35,55.48,7247325
Mon,3/11/19,54.72,55.29,54.64,55.27,6887342
Fri,3/8/19,54.12,54.53,53.83,54.49,7175424
Thu,3/7/19,54.73,54.74,54,54.4,12013554
Wed,3/6/19,54.89,55.24,54.77,54.85,4635478
Tue,3/5/19,54.87,55.01,54.67,54.73,5254337
Mon,3/4/19,54.86,55.22,54.16,54.99,7994773
Fri,3/1/19,55.21,55.5,54.55,54.74,9884057
Thu,2/28/19,55.43,55.48,54.69,54.81,8800389
Wed,2/27/19,55.46,55.66,55.13,55.49,4651210
Tue,2/26/19,55.77,55.94,55.56,55.58,6219053
Mon,2/25/19,55.77,56.05,55.65,55.9,6214666
Fri,2/22/19,55.58,55.71,55.34,55.54,4811466
Thu,2/21/19,55.59,55.72,55.07,55.3,8588850
Wed,2/20/19,54.68,55.86,54.6,55.52,11358153
Tue,2/19/19,54.05,54.84,54,54.58,12317491
Fri,2/15/19,54.11,54.38,53.85,54.25,7680203
Thu,2/14/19,53.55,53.91,53.37,53.52,4906098
