Day,Date,Open,High,Low,Close,Volume
===,==========,==========,==========,==========,==========,===========
Mon,6/3/19,46.63,46.63,45.31,45.61,7155262
Fri,5/31/19,47.27,47.39,47.02,47.09,2484754
Thu,5/30/19,47.82,47.97,47.58,47.83,2520601
Wed,5/29/19,47.99,48.05,47.51,47.72,2512628
Tue,5/28/19,48.18,48.61,48.14,48.19,2793395
Fri,5/24/19,48.27,48.42,47.95,47.98,3442275
Thu,5/23/19,48.18,48.32,47.71,47.99,2570184
Wed,5/22/19,48.57,48.99,48.57,48.67,2793666
Tue,5/21/19,48.58,48.81,48.38,48.72,3023917
Mon,5/20/19,48.5,48.58,48.06,48.19,3854146
Fri,5/17/19,48.94,49.51,48.88,49,3663042
Thu,5/16/19,48.96,49.61,48.88,49.36,4627211
Wed,5/15/19,47.61,49.08,47.61,48.93,7292697
Tue,5/14/19,47.87,48.28,47.54,47.86,5332139
Mon,5/13/19,48.12,48.42,47.45,47.59,8210994
Fri,5/10/19,48.87,49.29,48.17,49.11,2900464
Thu,5/9/19,48.73,49.15,48.46,48.97,4241518
Wed,5/8/19,49.22,49.41,49.07,49.12,3453555
Tue,5/7/19,49.72,49.83,48.81,49.2,4342135
Mon,5/6/19,49.27,50.09,49.26,50.01,3159766
Fri,5/3/19,49.87,50.12,49.69,50.09,2050371
Thu,5/2/19,49.85,49.97,49.19,49.61,4680813
Wed,5/1/19,50.28,50.38,49.81,49.81,4262654
Tue,4/30/19,50.28,50.42,49.88,50.07,3197065
Mon,4/29/19,50.87,51.34,50.87,51.22,1341001
Fri,4/26/19,50.49,50.78,50.23,50.76,2076597
Thu,4/25/19,50.66,50.67,50.2,50.36,3064706
Wed,4/24/19,50.04,50.05,49.72,49.8,3311823
Tue,4/23/19,49.63,50.15,49.51,50.03,3929785
Mon,4/22/19,49.05,49.37,49,49.37,2126751
Thu,4/18/19,49.25,49.25,49.01,49.15,1755096
Wed,4/17/19,49.22,49.24,49.01,49.12,2826297
Tue,4/16/19,49.12,49.17,48.84,49.03,2157025
Mon,4/15/19,49.03,49.06,48.69,48.98,2345662
Fri,4/12/19,48.97,49.06,48.79,49.02,4894102
Thu,4/11/19,48.66,48.72,48.51,48.6,2115284
Wed,4/10/19,48.47,48.6,48.3,48.57,2265200
