Day,Date,Open,High,Low,Close,Volume
===,==========,==========,==========,==========,==========,===========
Mon,6/3/19,59.17,59.81,59.08,59.52,18024660
Fri,5/31/19,59,59.54,58.77,58.77,21898542
Thu,5/30/19,60.49,60.6,59.63,59.82,15173861
Wed,5/29/19,60.14,60.63,59.78,60.59,16951584
Tue,5/28/19,61.66,61.77,60.89,60.98,12930642
Fri,5/24/19,61.88,62.12,61.08,61.62,10153381
Thu,5/23/19,62.46,62.51,61.02,61.39,23963612
Wed,5/22/19,64.13,64.28,63.31,63.52,9637121
Tue,5/21/19,64.05,64.7,63.97,64.52,18380450
Mon,5/20/19,63.76,64.08,63.65,63.78,8186324
Fri,5/17/19,63.97,64.32,63.67,63.75,10555799
Thu,5/16/19,64.21,64.64,64.21,64.4,9376619
Wed,5/15/19,63.36,64.19,63.19,64.05,10092343
Tue,5/14/19,63.29,64.25,63.23,63.72,9241956
Mon,5/13/19,63.47,63.78,62.65,62.95,14070022
Fri,5/10/19,63.75,64.21,62.85,64.05,13074954
Thu,5/9/19,63.45,63.99,62.91,63.75,14409544
Wed,5/8/19,63.72,64.28,63.58,63.75,9823707
Tue,5/7/19,63.55,63.8,62.94,63.75,15064718
Mon,5/6/19,63.76,64.51,63.7,64.31,20344656
Fri,5/3/19,64.26,64.75,64.11,64.25,19624560
Thu,5/2/19,64.38,64.77,63.63,63.66,28033012
Wed,5/1/19,66.13,66.33,64.74,64.79,22155992
Tue,4/30/19,66.8,66.85,66.03,66.11,14327153
Mon,4/29/19,66.24,66.51,66.03,66.16,12974541
Fri,4/26/19,66.6,66.62,65.64,66.22,16838386
Thu,4/25/19,67.29,67.64,66.94,67.09,12060913
Wed,4/24/19,68.56,68.6,67.27,67.3,11019051
Tue,4/23/19,68.66,68.81,68.05,68.5,10212221
Mon,4/22/19,67.81,68.65,67.62,68.61,14164657
Thu,4/18/19,67.7,67.79,67.02,67.19,9759653
Wed,4/17/19,68.01,68.16,67.42,67.51,10934622
Tue,4/16/19,67.4,67.7,67.15,67.6,8130337
Mon,4/15/19,67.48,67.64,67.05,67.16,8300980
Fri,4/12/19,68.35,68.4,67.39,67.56,15426841
Thu,4/11/19,67.27,67.85,66.86,67.38,10914234
Wed,4/10/19,67.23,67.64,67.15,67.33,9375986
Tue,4/9/19,67.71,67.71,66.87,67.08,14541926
Mon,4/8/19,67.71,68.25,67.63,67.91,10602138
Fri,4/5/19,66.62,67.68,66.59,67.61,17269238
Thu,4/4/19,65.93,66.49,65.61,66.44,10504382
Wed,4/3/19,66.72,66.85,65.65,65.89,11989787
Tue,4/2/19,67.16,67.21,66.37,66.53,11152432
Mon,4/1/19,66.56,67.13,66.47,66.99,12411747
Fri,3/29/19,66.86,67.02,65.9,66.12,10037621
Thu,3/28/19,65.69,66.3,65.56,66.22,9149159
Wed,3/27/19,66.39,66.69,65.46,65.97,9582647
Tue,3/26/19,66.26,66.89,66.08,66.44,11516543
Mon,3/25/19,65.19,65.61,64.87,65.5,12346537
Fri,3/22/19,66.68,66.79,65.22,65.47,19974976
Thu,3/21/19,66.62,67.4,66.48,67.29,17878046
Wed,3/20/19,66.18,67.42,65.98,66.82,13662863
Tue,3/19/19,66.75,67.09,65.97,66.24,12525956
Mon,3/18/19,65.59,66.53,65.56,66.42,10067909
Fri,3/15/19,65.48,65.71,65.26,65.51,12427359
Thu,3/14/19,65.53,65.86,65.45,65.54,12416973
Wed,3/13/19,65.22,65.5,64.95,65.47,13310289
Tue,3/12/19,64.5,65.14,64.48,64.81,11099447
Mon,3/11/19,63.87,64.54,63.81,64.4,13315630
Fri,3/8/19,63.57,63.7,62.81,63.4,15743956
Thu,3/7/19,65.04,65.09,64.36,64.61,23629910
Wed,3/6/19,65.3,65.44,64.67,65,22868748
Tue,3/5/19,66.14,66.17,65.37,65.83,15931430
Mon,3/4/19,66.17,66.33,65.06,66.05,19935320
Fri,3/1/19,65.09,65.94,65.09,65.93,20487304
Thu,2/28/19,65.41,65.5,64.34,64.74,11337567
Wed,2/27/19,65.47,66.07,65.09,65.4,10374685
Tue,2/26/19,65.3,65.74,65.13,65.15,10633366
Mon,2/25/19,65.04,65.58,64.98,65.36,16029099
Fri,2/22/19,65.55,65.74,64.92,65.25,10026221
Thu,2/21/19,65.87,66.04,64.82,65.06,11959109
Wed,2/20/19,65.71,66.41,65.7,66.08,10013557
Tue,2/19/19,65.28,66.05,65.18,65.8,8789981
Fri,2/15/19,65.24,65.66,65.09,65.61,10263647
Thu,2/14/19,64.11,65.05,63.99,64.56,10293450
Wed,2/13/19,63.8,64.84,63.73,64.34,13164015
Tue,2/12/19,63.59,63.9,62.81,63.54,10760968
Mon,2/11/19,62.15,62.85,61.97,62.75,12595326
Fri,2/8/19,62.57,62.72,61.39,62.45,10717746
Thu,2/7/19,63.76,63.98,62.15,62.74,14714897
Wed,2/6/19,64.33,64.5,64.1,64.16,6857129
Tue,2/5/19,64.48,64.74,64.28,64.63,7914217
Mon,2/4/19,63.95,64.55,63.47,64.53,10187266
Fri,2/1/19,63.97,64.76,63.76,64.39,14888179
Thu,1/31/19,62.98,63.58,62.81,63.28,17984020
Wed,1/30/19,62.39,63.08,62.05,62.88,12211567
Tue,1/29/19,62.17,62.42,61.95,62,11977279
Mon,1/28/19,61.62,61.85,61.14,61.82,12116964
Fri,1/25/19,62.18,62.83,62.08,62.44,10313785
