Day,Date,Open,High,Low,Close,Volume
===,==========,==========,==========,==========,==========,===========
Mon,6/3/19,25.97,26.29,25.92,26.18,63329348
Fri,5/31/19,26.07,26.2,25.99,26.01,49259252
Thu,5/30/19,26.56,26.71,26.28,26.41,40641220
Wed,5/29/19,26.34,26.55,26.22,26.5,39700572
Tue,5/28/19,26.78,26.86,26.53,26.55,35177712
Fri,5/24/19,26.75,26.87,26.67,26.86,30582000
Thu,5/23/19,26.77,26.78,26.42,26.65,51832904
Wed,5/22/19,27.05,27.11,26.95,27.03,25867584
Tue,5/21/19,27.02,27.19,27.02,27.19,36851388
Mon,5/20/19,26.78,27.03,26.78,26.91,44357440
Fri,5/17/19,26.79,27.14,26.75,26.88,62711460
Thu,5/16/19,26.88,27.21,26.86,27.06,44872608
Wed,5/15/19,26.62,26.92,26.52,26.79,49061696
Tue,5/14/19,26.74,27.12,26.71,26.89,52398356
Mon,5/13/19,26.93,26.99,26.59,26.68,54962540
Fri,5/10/19,27.15,27.52,26.91,27.48,63453824
Thu,5/9/19,27.03,27.35,26.9,27.3,56468340
Wed,5/8/19,27.31,27.59,27.24,27.36,44254544
Tue,5/7/19,27.62,27.89,27.23,27.42,60090812
Mon,5/6/19,27.58,27.98,27.53,27.88,42517376
Fri,5/3/19,27.94,28.12,27.89,28.07,34598896
Thu,5/2/19,27.77,27.95,27.62,27.82,50972888
Wed,5/1/19,28.05,28.14,27.77,27.79,67969520
Tue,4/30/19,28.02,28.06,27.78,28.02,38800268
Mon,4/29/19,27.8,28.13,27.73,27.98,61643172
Fri,4/26/19,27.45,27.72,27.41,27.7,41527920
Thu,4/25/19,27.27,27.56,27.2,27.45,44532304
Wed,4/24/19,27.34,27.52,27.28,27.4,39505228
Tue,4/23/19,27.25,27.46,27.14,27.43,54250320
Mon,4/22/19,27.26,27.34,27.17,27.26,39324120
Thu,4/18/19,27.37,27.45,27.3,27.34,52495728
Wed,4/17/19,27.45,27.46,27.2,27.42,58833988
Tue,4/16/19,27.03,27.38,27.01,27.35,56093380
Mon,4/15/19,27.15,27.16,26.91,26.97,40030368
