Day,Date,Open,High,Low,Close,Volume
===,==========,==========,==========,==========,==========,===========
Mon,6/3/19,71.93,72.94,71.91,72.54,17514954
Fri,5/31/19,72.27,72.54,71.99,72.05,13718389
Thu,5/30/19,73.09,73.4,72.79,73.05,10103505
Wed,5/29/19,72.78,73.1,72.08,72.77,14257069
Tue,5/28/19,73.87,74.15,73.09,73.1,11263080
Fri,5/24/19,74.24,74.37,73.58,73.78,11127434
Thu,5/23/19,74.07,74.18,73.29,73.75,16205768
Wed,5/22/19,75.25,75.34,74.89,74.89,9114746
Tue,5/21/19,75.27,75.6,75.07,75.51,10612265
Mon,5/20/19,74.35,74.91,74.28,74.63,11638491
Fri,5/17/19,74.84,75.64,74.73,74.82,16305654
Thu,5/16/19,75.31,75.9,75.16,75.66,7450005
Wed,5/15/19,74.2,75.28,74.03,74.97,12289963
Tue,5/14/19,74.37,75.43,74.27,74.87,11318011
Mon,5/13/19,74.5,74.79,73.6,74.1,20011032
Fri,5/10/19,75.47,76.46,74.59,76.27,17419836
Thu,5/9/19,75.28,76.1,74.83,75.97,14923662
Wed,5/8/19,75.94,76.61,75.83,76.08,16464956
Tue,5/7/19,76.7,76.85,75.49,76.08,18356220
Mon,5/6/19,76.76,77.79,76.7,77.65,11928825
Fri,5/3/19,77.73,78.47,77.73,78.4,12904073
Thu,5/2/19,77.31,77.63,76.81,77.46,16360969
Wed,5/1/19,78.25,78.5,77.5,77.5,16918680
Tue,4/30/19,78.02,78.22,77.35,78.01,9546653
Mon,4/29/19,77.52,77.95,77.43,77.7,8759251
Fri,4/26/19,76.98,77.52,76.84,77.52,12262594
Thu,4/25/19,77.64,77.66,76.59,76.94,12555935
Wed,4/24/19,78.75,78.95,78.49,78.52,7718026
Tue,4/23/19,78.3,78.91,78.06,78.75,13760481
Mon,4/22/19,78.01,78.25,77.69,78.07,6477790
Thu,4/18/19,77.74,78.42,77.74,78.31,13192661
Wed,4/17/19,77.78,77.99,77.4,77.42,10363901
Tue,4/16/19,77.11,77.42,76.93,77.32,7101573
Mon,4/15/19,77.17,77.33,76.74,76.85,7368111
Fri,4/12/19,77.01,77.28,76.74,77.28,11175121
Thu,4/11/19,75.64,76.35,75.59,76.27,9532153
Wed,4/10/19,75.7,75.78,75.16,75.62,13974689
Tue,4/9/19,76.15,76.18,75.5,75.64,9814477
Mon,4/8/19,76.43,76.7,76.1,76.68,8819137
Fri,4/5/19,77.08,77.25,76.89,77.01,7531373
Thu,4/4/19,76.28,77.06,76.27,76.79,9236642
Wed,4/3/19,76.86,76.96,76.12,76.32,12726012
Tue,4/2/19,76.62,76.82,76.36,76.55,10397617
Mon,4/1/19,75.72,76.7,75.67,76.58,15530976
Fri,3/29/19,74.72,75.09,74.66,75.03,10138768
Thu,3/28/19,73.9,74.33,73.69,74.23,10030122
Wed,3/27/19,73.63,74.03,73.14,73.69,10556131
Tue,3/26/19,73.64,73.91,73.15,73.61,10523982
Mon,3/25/19,72.97,73.51,72.79,73.12,12372760
Fri,3/22/19,74.22,74.27,72.9,72.95,18004400
Thu,3/21/19,73.71,74.8,73.65,74.64,10638633
Wed,3/20/19,74.25,74.53,73.52,73.93,11259449
Tue,3/19/19,74.96,75.22,74.15,74.44,10778218
Mon,3/18/19,73.88,74.77,73.8,74.71,10313893
Fri,3/15/19,74.34,74.52,73.85,73.99,24900046
Thu,3/14/19,74.49,74.68,74.06,74.25,9692035
Wed,3/13/19,74.12,74.75,74.03,74.5,13464981
Tue,3/12/19,74.37,74.46,73.72,73.85,18099448
Mon,3/11/19,72.79,74.5,72.62,74.47,15386414
Fri,3/8/19,73.29,73.87,73.19,73.84,14423885
Thu,3/7/19,74.25,74.37,73.35,73.99,19214744
Wed,3/6/19,75.04,75.18,74.42,74.44,18574734
Tue,3/5/19,75.67,75.84,75.13,75.15,13900159
Mon,3/4/19,76.33,76.65,75.05,75.63,19260740
Fri,3/1/19,76.47,76.66,75.57,75.97,12860266
Thu,2/28/19,76.17,76.21,75.85,75.9,8580399
Wed,2/27/19,75.73,76.23,75.46,76.16,8079529
Tue,2/26/19,75.87,76.32,75.84,75.86,11798623
Mon,2/25/19,76.56,76.69,76.04,76.07,10166729
Fri,2/22/19,75.54,75.81,75.25,75.77,9873449
Thu,2/21/19,75.41,75.59,75.03,75.28,6821748
Wed,2/20/19,75.2,75.62,75.11,75.58,8962699
