Day,Date,Open,High,Low,Close,Volume
===,==========,==========,==========,==========,==========,===========
Mon,6/3/19,72,72.4,70.14,70.63,19703698
Fri,5/31/19,72.23,72.57,71.86,71.89,12039782
Thu,5/30/19,72.83,73.25,72.61,73.11,11420530
Wed,5/29/19,72.55,73.01,72.17,72.66,14754806
Tue,5/28/19,73.53,74,73.05,73.09,25772770
Fri,5/24/19,73.68,74.06,73.22,73.3,11750019
Thu,5/23/19,73.58,73.62,72.74,73.28,16085696
Wed,5/22/19,74.49,75.04,74.45,74.59,11521081
Tue,5/21/19,74.85,75.22,74.68,74.98,14841128
Mon,5/20/19,74.11,74.69,73.71,74.07,14673932
Fri,5/17/19,75.21,76.4,75.2,75.38,13543996
Thu,5/16/19,75.35,76.54,75.25,75.99,15444976
Wed,5/15/19,73.97,75.53,73.85,75.3,15048875
Tue,5/14/19,73.68,74.95,73.62,74.49,18404280
Mon,5/13/19,74.03,74.47,73.1,73.31,25461208
Fri,5/10/19,75.45,76.52,74.36,76.18,19596296
Thu,5/9/19,75.51,76.19,74.66,75.94,19300910
Wed,5/8/19,76.3,77.12,76.17,76.46,13667465
Tue,5/7/19,77.35,77.65,75.85,76.55,20625712
Mon,5/6/19,76.96,78.36,76.66,78.23,13022479
Fri,5/3/19,78.38,78.91,78.27,78.84,13288420
Thu,5/2/19,78.49,79.06,77.68,78.1,24988752
Wed,5/1/19,79.5,79.7,78.5,78.51,15446826
Tue,4/30/19,78.54,78.82,78.1,78.71,18842868
Mon,4/29/19,78.57,78.83,78.49,78.58,10613331
Fri,4/26/19,78.38,78.58,77.72,78.56,11050219
Thu,4/25/19,79.24,79.46,78.44,78.86,11387585
Wed,4/24/19,78.91,79.24,78.76,78.88,10938268
Tue,4/23/19,78.12,78.95,78.04,78.85,16693005
Mon,4/22/19,77.46,78.03,77.39,78,8084368
Thu,4/18/19,77.77,77.84,77.24,77.82,11491949
Wed,4/17/19,77.66,77.7,77.22,77.6,12247872
Tue,4/16/19,77.02,77.25,76.8,77.17,9609547
Mon,4/15/19,76.81,77,76.37,76.78,9910693
Fri,4/12/19,76.71,76.81,76.28,76.81,8555372
Thu,4/11/19,76.54,76.56,76.12,76.28,7697338
Wed,4/10/19,75.92,76.4,75.88,76.38,8617805
Tue,4/9/19,75.88,76.15,75.68,75.85,13440126
Mon,4/8/19,75.74,76.25,75.42,76.21,7309911
Fri,4/5/19,75.81,76,75.68,75.92,6709785
Thu,4/4/19,75.85,76.05,75.11,75.56,11503077
Wed,4/3/19,75.72,76.26,75.58,75.88,13869223
