Day,Date,Open,High,Low,Close,Volume
===,==========,==========,==========,==========,==========,===========
Mon,6/3/19,36.6,36.67,36.29,36.61,6621392
Fri,5/31/19,36.09,36.67,36.04,36.47,4582080
Thu,5/30/19,35.99,36.28,35.93,36.17,2656216
Wed,5/29/19,36.34,36.43,35.8,35.95,2648701
Tue,5/28/19,36.93,36.99,36.36,36.37,2496427
Fri,5/24/19,36.86,36.99,36.74,36.75,1523622
Thu,5/23/19,36.42,36.74,36.36,36.7,2521111
Wed,5/22/19,36.39,36.55,36.31,36.52,1982786
Tue,5/21/19,36.21,36.46,36.15,36.35,2353582
Mon,5/20/19,36.51,36.57,35.92,36.05,3472111
Fri,5/17/19,36.52,36.71,36.44,36.64,3403223
Thu,5/16/19,36.48,36.84,36.45,36.69,2834171
Wed,5/15/19,36.24,36.61,36.1,36.48,3478218
Tue,5/14/19,36.18,36.39,36.1,36.24,3984429
Mon,5/13/19,35.87,36.17,35.8,36.11,3392058
Fri,5/10/19,35.62,36.2,35.6,36.11,3268361
Thu,5/9/19,35.5,35.74,35.26,35.7,5684523
Wed,5/8/19,35.65,35.92,35.56,35.58,3831514
Tue,5/7/19,36.08,36.14,35.32,35.58,3711849
Mon,5/6/19,36.19,36.34,35.97,36.2,3377164
Fri,5/3/19,36.25,36.41,36.08,36.35,3223438
Thu,5/2/19,36.04,36.46,36.04,36.1,5382631
Wed,5/1/19,36.06,36.47,35.96,36.03,6051274
Tue,4/30/19,35.64,36.08,35.39,36.03,4650163
Mon,4/29/19,35.87,36.07,35.58,35.62,3256824
Fri,4/26/19,35.89,36.01,35.71,35.99,2517014
Thu,4/25/19,35.68,35.86,35.46,35.75,4198357
Wed,4/24/19,35.64,35.93,35.55,35.79,3304210
Tue,4/23/19,35.27,35.63,35.14,35.54,5469085
Mon,4/22/19,35.46,35.46,34.83,35.14,4012606
Thu,4/18/19,35.41,35.59,35.11,35.53,2756855
Wed,4/17/19,35.73,35.8,35.13,35.25,4323531
Tue,4/16/19,36.49,36.49,35.44,35.62,3994518
Mon,4/15/19,36.71,36.71,36.37,36.48,2115294
Fri,4/12/19,36.45,36.7,36.2,36.7,2691282
