Day,Date,Open,High,Low,Close,Volume
===,==========,==========,==========,==========,==========,===========
Mon,6/3/19,58.44,58.91,58.14,58.83,20335356
Fri,5/31/19,58,58.41,57.74,58.25,18256976
Thu,5/30/19,58.08,58.4,57.8,57.98,16822644
Wed,5/29/19,58.99,59.04,57.93,58.07,20119140
Tue,5/28/19,59.91,59.96,58.75,58.85,16397885
Fri,5/24/19,59.96,60.27,59.76,59.83,8712444
Thu,5/23/19,59.47,59.93,59.41,59.92,15164644
Wed,5/22/19,59.06,59.47,58.88,59.41,9257875
Tue,5/21/19,58.95,59.45,58.81,58.97,11504381
Mon,5/20/19,58.91,59.23,58.71,58.86,9118825
Fri,5/17/19,58.22,59.01,58.14,58.78,10477144
Thu,5/16/19,58.03,58.66,57.87,58.48,13908648
Wed,5/15/19,58.22,58.44,58.01,58.09,14577531
Tue,5/14/19,58.59,58.63,58.08,58.19,17609426
Mon,5/13/19,57.78,58.71,57.7,58.58,20096262
Fri,5/10/19,56.93,57.99,56.82,57.96,25157994
Thu,5/9/19,57.01,57.26,56.66,56.94,16173941
Wed,5/8/19,57.73,57.79,56.96,57.01,28692352
Tue,5/7/19,57.89,58.03,57.53,57.8,12542240
Mon,5/6/19,58.3,58.46,57.85,57.98,13389683
Fri,5/3/19,57.98,58.4,57.89,58.3,16071256
Thu,5/2/19,58,58.31,57.55,57.98,23464020
Wed,5/1/19,58.54,58.69,58.06,58.11,26412896
Tue,4/30/19,57.77,58.75,57.67,58.71,22016748
Mon,4/29/19,58.05,58.07,57.52,57.76,20775908
Fri,4/26/19,58.33,58.68,58.03,58.1,14517404
Thu,4/25/19,57.51,58.24,57.45,58.01,15253408
Wed,4/24/19,57.54,57.97,57.45,57.77,16428356
Tue,4/23/19,57.26,57.58,56.98,57.4,17068172
Mon,4/22/19,57.27,57.46,57.12,57.24,10685482
Thu,4/18/19,57.4,57.69,57.26,57.29,16039368
Wed,4/17/19,57.42,57.57,57.21,57.26,15194799
Tue,4/16/19,58.2,58.33,57.29,57.48,19688846
Mon,4/15/19,58.26,58.46,58.05,58.2,15253376
Fri,4/12/19,57.73,58.27,57.44,58.21,15926624
Thu,4/11/19,57.64,57.96,57.57,57.94,17420016
Wed,4/10/19,57.95,58.34,57.51,57.65,16891152
Tue,4/9/19,57.74,57.88,57.56,57.83,12993931
Mon,4/8/19,57.97,58.05,57.54,57.69,14681743
Fri,4/5/19,57.56,58.13,57.38,58.1,15419351
Thu,4/4/19,57.86,57.91,57.22,57.56,16264598
Wed,4/3/19,57.73,58,57.33,57.76,15450528
Tue,4/2/19,57.89,57.96,57.49,57.85,24978100
Mon,4/1/19,58.17,58.17,57.42,57.77,26681942
Fri,3/29/19,57.78,58.24,57.64,58.17,21835136
Thu,3/28/19,58.54,58.74,57.66,57.86,24748768
Wed,3/27/19,59.02,59.07,58.28,58.55,17323640
Tue,3/26/19,58.57,58.99,58.49,58.96,15699774
Mon,3/25/19,58.54,58.72,58.3,58.54,13762955
Fri,3/22/19,58.29,58.9,58.07,58.49,20452512
Thu,3/21/19,57.5,58.19,57.41,58.07,15371776
Wed,3/20/19,57.42,57.92,57.17,57.46,18880460
Tue,3/19/19,57.88,57.97,57.1,57.31,22636224
Mon,3/18/19,58.22,58.3,57.72,57.97,15008763
Fri,3/15/19,58.07,58.38,57.74,58.19,17714892
Thu,3/14/19,57.96,58.31,57.76,57.98,15267834
Wed,3/13/19,57.82,58.13,57.78,57.99,16005508
Tue,3/12/19,57.63,57.99,57.52,57.93,17228944
Mon,3/11/19,57.15,57.55,57.11,57.53,14566127
Fri,3/8/19,57,57.18,56.59,57.13,18149556
Thu,3/7/19,56.84,57.28,56.77,56.93,15240749
Wed,3/6/19,56.8,56.95,56.54,56.74,11388230
Tue,3/5/19,56.81,56.95,56.64,56.74,12134954
Mon,3/4/19,56.78,56.93,56.25,56.81,12429124
Fri,3/1/19,56.61,56.74,56.23,56.71,13517604
Thu,2/28/19,56.29,56.73,55.99,56.59,12903119
Wed,2/27/19,56.06,56.44,56,56.26,12045054
Tue,2/26/19,56.38,56.46,55.91,56.19,13804411
Mon,2/25/19,56.68,56.72,56.04,56.26,13177162
Fri,2/22/19,56.38,56.64,56.12,56.63,15360672
Thu,2/21/19,55.71,56.37,55.52,56.28,19241996
Wed,2/20/19,55.61,55.97,55.3,55.88,14464931
Tue,2/19/19,55.34,55.69,55.17,55.63,14596904
Fri,2/15/19,55.31,55.51,55.1,55.3,9413887
Thu,2/14/19,55.26,55.42,54.93,55.13,19235688
Wed,2/13/19,55.21,55.36,54.99,55.22,13481074
Tue,2/12/19,55.26,55.66,54.94,55.38,14862791
Mon,2/11/19,55.27,55.54,55.06,55.25,14838366
Fri,2/8/19,54.9,55.3,54.78,55.27,14742260
Thu,2/7/19,54.24,55.03,54.07,55.03,16194905
Wed,2/6/19,54.27,54.54,54.05,54.32,9272802
Tue,2/5/19,54.24,54.45,53.93,54.35,12387465
Mon,2/4/19,53.91,54.27,53.53,54.24,18199736
Fri,2/1/19,54.13,54.36,53.68,54.15,15677832
Thu,1/31/19,53.22,54.52,52.98,54.36,23252972
Wed,1/30/19,52.69,53.46,52.61,53.24,18716750
Tue,1/29/19,52.93,53.08,52.65,52.83,12712147
Mon,1/28/19,52.94,53.14,52.44,52.68,14289030
Fri,1/25/19,53.49,53.74,52.85,52.93,18289034
Thu,1/24/19,53.34,53.71,52.95,53.66,22086804
Wed,1/23/19,52.86,53.41,52.76,53.38,14316590
Tue,1/22/19,52.74,53.14,52.33,52.85,17039932
Fri,1/18/19,52.76,52.93,52.51,52.75,14259717
Thu,1/17/19,52.43,52.81,52.35,52.69,20940238
Wed,1/16/19,52.18,52.49,51.88,52.47,18484328
Tue,1/15/19,51.43,52.57,51.38,52.28,27294140
Mon,1/14/19,52.21,52.85,51.16,51.65,23664168
Fri,1/11/19,52.97,53.08,52.51,52.84,25026812
Thu,1/10/19,52.41,53.14,52.34,53.04,25647028
Wed,1/9/19,52.64,52.86,52.2,52.35,18208824
Tue,1/8/19,52.07,52.73,51.79,52.67,16767028
Mon,1/7/19,52.05,52.28,51.74,52.02,16388441
Fri,1/4/19,51.38,52.41,51.31,52.38,19144616
Thu,1/3/19,51.63,52.05,51.38,51.62,21747632
Wed,1/2/19,52.32,52.37,51.32,51.63,25360668
Mon,12/31/18,52.46,52.68,51.98,52.53,16423121
Fri,12/28/18,52.43,52.97,52.24,52.44,21244072
Thu,12/27/18,51.89,52.38,51.02,52.31,29951270
Wed,12/26/18,51.19,51.94,50.44,51.88,31067964
Mon,12/24/18,53.31,53.71,50.97,51.18,22833520
Fri,12/21/18,54.05,55.01,53.25,53.41,35910268
